100000 99999
1 2 9
1 5 10
1 6 1
1 7 3
1 11 6
1 179 6
1 665 3
1 708 4
1 947 2
1 42073 2
1 43476 7
1 62022 8
1 78770 2
2 3 9
2 4 5
2 22 8
2 24 3
2 58 8
2 281 5
2 1664 8
2 4937 8
2 16220 9
2 28909 10
2 56044 5
3 12 8
3 75 7
3 105 4
3 370 8
3 2985 4
3 9689 9
3 69342 4
4 28 2
4 133 6
4 141 3
4 204 4
4 682 1
4 2254 1
4 2533 2
4 8749 3
4 20110 5
4 85678 2
5 19 5
5 189 8
5 9959 1
5 17775 3
5 35736 4
5 45589 5
5 54934 1
6 8 3
6 9 10
6 10 8
6 16 6
6 36 10
6 186 2
6 536 6
6 640 3
6 4012 4
6 12696 3
6 18622 5
7 13 3
7 39 1
7 44 10
7 234 10
7 526 4
7 2294 3
7 5019 2
7 7513 2
8 114 1
8 226 9
8 466 3
8 568 5
8 2170 6
8 2492 9
8 11991 2
9 20 9
9 220 1
9 473 7
9 491 8
9 12328 2
9 17508 8
9 55956 3
10 38 10
10 287 8
10 533 5
10 736 7
10 2231 6
10 4928 2
10 10999 5
10 42301 5
10 51695 9
10 67985 8
10 75048 1
10 88296 1
11 33 4
11 379 5
11 509 7
11 879 5
11 1984 5
11 2335 9
11 21877 4
11 98029 10
12 17 5
12 35 2
12 61 7
12 192 8
12 247 1
12 337 4
12 346 10
12 609 7
12 1079 4
12 1140 5
12 1170 3
12 1513 1
12 1706 2
12 3872 2
13 14 2
13 139 10
13 298 7
13 699 1
13 5189 4
13 36702 7
14 15 6
14 27 2
14 30 7
14 42 10
14 80 6
14 87 1
14 96 6
14 144 2
14 801 3
14 916 7
14 4931 10
14 5228 8
14 5525 7
14 7191 3
14 23429 10
14 29579 3
14 34831 6
14 83678 9
15 18 2
15 29 7
15 74 10
15 407 3
15 616 5
15 904 5
15 6872 9
15 32861 10
15 85295 4
16 85 7
16 121 7
16 362 2
16 1024 10
16 3175 2
16 3198 1
16 6820 7
16 14623 1
17 31 10
17 34 5
17 37 9
17 354 10
17 1329 10
17 1573 9
17 2538 1
17 7096 1
17 7506 3
17 16142 7
17 24695 8
17 25653 5
18 23 4
18 55 7
18 989 3
18 1239 7
18 4406 1
18 5456 4
18 66872 6
19 21 10
19 152 9
19 157 9
19 193 7
19 4616 8
19 4646 7
19 12698 2
19 14786 2
20 25 1
20 3969 2
20 9173 2
20 21328 6
20 31044 6
20 41037 1
20 91141 5
21 72 9
21 158 6
21 200 6
21 238 8
21 245 8
21 735 2
21 748 6
21 6490 6
21 7524 6
21 27329 9
21 34849 10
21 95045 2
22 522 6
22 2257 5
22 11722 1
22 11900 7
22 26477 9
23 26 4
23 53 8
23 59 1
23 83 9
23 102 9
23 400 6
23 508 2
23 621 8
23 4308 10
23 4419 5
23 7754 1
23 17861 7
23 21922 9
23 88609 4
24 119 6
24 643 1
24 3947 2
24 48493 4
25 47 10
25 140 1
25 146 7
25 1150 1
25 2156 7
25 34107 3
25 49439 9
25 49604 4
26 54 6
26 81 10
26 147 3
26 164 2
26 521 8
26 1802 1
26 2756 3
26 45548 1
26 66383 8
27 41 2
27 49 8
27 66 9
27 93 9
27 107 9
27 221 4
27 305 5
27 1764 3
27 6473 2
27 9390 2
27 99565 7
28 48 9
28 50 4
28 76 1
28 77 6
28 231 6
28 503 7
28 3397 9
28 49440 10
29 111 9
29 253 9
29 817 10
29 1616 5
29 1800 1
29 2415 4
29 8250 4
29 9438 7
29 11942 10
29 24469 1
29 62979 8
30 32 9
30 99 3
