1000 2700
1 142 5
1 116 10
1 156 3
2 115 1
2 112 8
2 156 10
3 197 9
3 125 4
3 198 8
4 169 10
4 149 6
4 200 6
5 169 6
5 168 5
5 142 1
6 165 6
6 169 4
6 136 2
7 173 5
7 141 6
7 104 5
8 112 8
8 131 9
8 108 10
9 130 5
9 120 1
9 190 9
10 177 7
10 151 5
10 126 4
11 164 2
11 149 7
11 178 6
12 137 5
12 138 8
12 182 10
13 199 5
13 140 5
13 123 2
14 186 10
14 198 10
14 162 2
15 180 2
15 137 10
15 164 3
16 145 7
16 102 2
16 169 4
17 101 1
17 117 2
17 190 10
18 128 10
18 177 6
18 105 9
19 200 5
19 183 6
19 127 3
20 174 7
20 132 9
20 200 8
21 129 2
21 197 9
21 154 7
22 173 5
22 119 7
22 191 2
23 144 2
23 132 7
23 103 3
24 130 4
24 129 4
24 197 9
25 166 1
25 167 9
25 105 4
26 114 7
26 198 10
26 113 3
27 182 8
27 157 7
27 129 7
28 115 1
28 181 8
28 180 2
29 107 9
29 182 6
29 106 8
30 116 8
30 113 2
30 140 9
31 198 6
31 200 6
31 139 6
32 138 9
32 162 10
32 140 10
33 171 5
33 144 9
33 188 3
34 191 10
34 142 6
34 164 4
35 186 6
35 143 7
35 154 2
36 126 3
36 129 8
36 152 6
37 143 6
37 165 8
37 158 3
38 177 4
38 178 6
38 148 7
39 103 4
39 195 7
39 141 2
40 156 10
40 195 5
40 121 5
41 169 4
41 152 9
41 115 10
42 125 7
42 188 7
42 133 4
43 152 5
43 109 6
43 171 2
44 158 4
44 143 3
44 173 8
45 148 9
45 143 2
45 102 8
46 192 5
46 195 6
46 156 9
47 179 5
47 150 1
47 141 9
48 161 4
48 194 7
48 143 7
49 146 5
49 186 7
49 199 5
50 115 10
50 194 5
50 186 7
51 119 5
51 198 4
51 197 5
52 123 6
52 194 10
52 130 1
53 174 8
53 154 1
53 178 8
54 139 1
54 101 10
54 132 7
55 120 8
55 169 1
55 130 10
56 103 2
56 178 7
56 140 9
57 127 4
57 105 8
57 137 10
58 127 6
58 134 4
58 155 1
59 109 1
59 103 2
59 187 10
60 200 8
60 145 9
60 154 3
61 131 4
61 111 10
61 156 3
62 165 9
62 199 9
62 167 9
63 152 3
63 186 3
63 176 5
64 156 1
64 183 7
64 160 5
65 149 1
65 116 6
65 107 9
66 198 9
66 150 5
66 195 5
67 197 7
